iter	RMSE
0	110.1610915
1	103.2291462
2	97.00834688
3	91.23934387
4	86.26580509
5	81.82763558
6	77.99801389
7	74.64066433
8	71.49593643
9	68.77392575
10	66.36917826
11	64.18459691
12	62.18778297
13	60.46583523
14	58.86332884
15	57.42127894
16	56.13405302
17	54.86840983
18	53.87819194
19	52.87198851
20	52.03931493
21	51.13531106
22	50.29943917
23	49.54013719
24	48.81667561
25	48.14082332
26	47.60539524
27	47.11440703
28	46.58146016
29	46.07510401
30	45.59252506
31	45.20735057
32	44.81468038
33	44.45838872
34	44.11434644
35	43.76537872
36	43.45000308
37	43.14606243
38	42.84118095
39	42.58415489
40	42.32534492
41	42.09357244
42	41.90791667
43	41.69228026
44	41.45297596
45	41.22631528
46	41.06805367
47	40.90184136
48	40.76091373
49	40.56475407
50	40.41834154
51	40.23057072
52	40.04012275
53	39.89220213
54	39.77061339
55	39.61877364
56	39.46346463
57	39.35818671
58	39.22010091
59	39.09580948
60	38.98530178
61	38.86517844
62	38.77740573
63	38.67337666
64	38.5608746
65	38.48978189
66	38.37963181
67	38.28486258
68	38.21758622
69	38.10274526
70	38.02191559
71	37.94182512
72	37.86588287
73	37.79541931
74	37.70046934
75	37.6324463
76	37.58074108
77	37.51964308
78	37.45188779
79	37.36972306
80	37.31429179
81	37.22034285
82	37.1676302
83	37.09783592
84	37.03033914
85	36.96277394
86	36.91859639
87	36.84323372
88	36.79902818
89	36.73471266
90	36.68032242
91	36.62308431
92	36.57167338
93	36.5089478
94	36.45831713
95	36.39989813
96	36.33534086
97	36.2835655
98	36.24495796
99	36.19700876
100	36.15449349
101	36.10470821
102	36.05581803
103	36.00305955
104	35.95314548
105	35.92103978
106	35.86867518
107	35.81401019
108	35.77291446
109	35.74102075
110	35.702566
111	35.66877407
112	35.64071135
113	35.59653147
114	35.57076546
115	35.52722599
116	35.49131562
117	35.44795785
118	35.39425421
119	35.36001922
120	35.32442116
121	35.29592365
122	35.25444277
123	35.20661233
124	35.16900658
125	35.13605849
126	35.10887046
127	35.07088943
128	35.03051413
129	34.98493313
130	34.96091981
131	34.92119409
132	34.88239544
133	34.85767624
134	34.81738374
135	34.78799228
136	34.76553251
137	34.72940389
138	34.68957149
139	34.66117724
140	34.63890991
141	34.60406468
142	34.57562527
143	34.55843645
144	34.53947757
145	34.49938353
146	34.46333362
147	34.43430282
148	34.40519285
149	34.37876501
150	34.35414413
151	34.32925516
152	34.306237
153	34.28484243
154	34.24985881
155	34.21527963
156	34.20008742
157	34.17107492
158	34.14297953
159	34.1083174
160	34.0931837
161	34.05697475
162	34.03205927
163	34.00960431
164	33.98089462
165	33.95811537
166	33.93259866
167	33.9096199
168	33.88488928
169	33.85013106
170	33.81991129
171	33.79151119
172	33.76809578
173	33.72586713
174	33.70931031
175	33.68950704
176	33.66835088
177	33.64988663
178	33.63327325
179	33.60629879
180	33.58902661
181	33.57029717
182	33.55688816
183	33.54503732
184	33.52622414
185	33.50313485
186	33.48098814
187	33.4690308
188	33.44252832
189	33.4167293
190	33.38429827
191	33.36915248
192	33.34790871
193	33.32340263
194	33.30075649
195	33.28306991
196	33.2562504
197	33.23615957
198	33.21884745
199	33.19960078
200	33.17768765
201	33.16113911
202	33.14142527
203	33.11960785
