iter	Passed	Remaining
0	245	466663
1	298	283185
2	353	223647
3	407	193162
4	463	175717
5	515	162835
6	567	153473
7	640	151526
8	724	152253
9	796	150547
10	840	144331
11	884	139135
12	928	134721
13	973	131124
14	1016	127695
15	1062	125064
16	1095	121383
17	1135	118740
18	1171	116002
19	1216	114335
20	1258	112588
21	1305	111469
22	1355	110633
23	1390	108657
24	1430	107265
25	1473	106233
26	1512	104953
27	1551	103728
28	1592	102729
29	1631	101726
30	1675	101016
31	1714	100057
32	1754	99235
33	1795	98513
34	1835	97815
35	1879	97330
36	1920	96700
37	1970	96544
38	2007	95802
39	2049	95297
40	2089	94762
41	2132	94340
42	2168	93662
43	2205	93039
44	2244	92533
45	2291	92358
46	2333	92012
47	2371	91508
48	2415	91250
49	2455	90840
50	2495	90487
51	2535	90093
52	2581	89979
53	2617	89493
54	2652	88971
55	2692	88657
56	2733	88396
57	2777	88195
58	2817	87927
59	2865	87876
60	2907	87653
61	2949	87429
62	2988	87126
63	3025	86803
64	3068	86613
65	3111	86452
66	3145	86049
67	3177	85611
68	3208	85144
69	3244	84819
70	3278	84462
71	3316	84195
72	3354	83961
73	3396	83806
74	3440	83709
75	3470	83284
76	3505	82990
77	3537	82631
78	3577	82452
79	3622	82410
80	3687	82817
81	3733	82778
82	3761	82343
83	3791	81960
84	3816	81499
85	3854	81309
86	3886	80985
87	3939	81109
88	3975	80897
89	4012	80696
90	4053	80579
91	4093	80449
92	4129	80242
93	4168	80082
94	4202	79844
95	4242	79723
96	4282	79602
97	4326	79550
98	4366	79432
99	4406	79324
100	4448	79229
101	4492	79184
102	4530	79039
103	4576	79033
104	4618	78960
105	4651	78725
106	4690	78604
107	4751	78836
108	4808	79001
109	4850	78935
110	4889	78809
111	4936	78813
112	4979	78748
113	5021	78667
114	5056	78478
115	5095	78358
116	5136	78275
117	5174	78147
118	5218	78099
119	5256	77973
120	5297	77886
121	5331	77694
122	5370	77589
123	5407	77447
124	5444	77308
125	5480	77159
126	5510	76924
127	5546	76779
128	5585	76674
129	5624	76576
130	5659	76418
131	5700	76356
132	5738	76239
133	5767	76011
134	5810	75971
135	5845	75815
136	5885	75731
137	5926	75667
138	5980	75762
139	6029	75796
140	6062	75634
141	6106	75603
142	6147	75528
143	6182	75390
144	6216	75240
145	6257	75179
146	6296	75091
147	6335	74996
148	6380	74977
149	6414	74836
150	6452	74743
151	6490	74635
152	6523	74481
153	6563	74413
154	6604	74355
155	6644	74284
156	6681	74179
157	6716	74050
158	6754	73964
159	6798	73933
160	6836	73842
161	6882	73835
162	6939	73952
163	6985	73945
164	7054	74183
165	7103	74206
166	7142	74120
167	7187	74098
168	7225	74003
169	7269	73980
170	7308	73892
171	7340	73744
172	7373	73605
173	7414	73543
174	7446	73403
175	7484	73310
176	7554	73534
177	7590	73434
178	7625	73314
179	7669	73283
180	7710	73226
181	7747	73137
182	7787	73068
183	7822	72956
184	7860	72864
185	7900	72807
186	7948	72815
187	7992	72785
188	8041	72798
189	8112	73015
190	8165	73064
191	8206	73006
192	8252	72990
193	8287	72879
194	8331	72843
195	8367	72741
196	8410	72706
197	8451	72646
198	8489	72563
199	8526	72471
200	8575	72485
201	8616	72429
202	8658	72384
203	8697	72310
204	8734	72221
205	8774	72156
206	8817	72118
207	8859	72072
208	8901	72023
209	8937	71927
210	8975	71846
211	9013	71769
212	9050	71682
213	9093	71646
214	9208	72172
215	9259	72188
216	9303	72159
217	9357	72198
218	9407	72209
219	9455	72203
220	9521	72335
221	9584	72442
222	9643	72520
223	9699	72572
224	9742	72526
225	9784	72476
226	9824	72403
227	9872	72395
228	9914	72348
229	9963	72344
230	10001	72264
231	10043	72210
232	10091	72197
233	10129	72118
234	10181	72138
235	10221	72067
236	10295	72243
237	10347	72259
238	10391	72217
239	10474	72446
240	10539	72549
241	10606	72666
242	10664	72720
243	10750	72960
244	10905	73668
245	10955	73662
246	11056	73991
247	11122	74090
248	11181	74137
249	11313	74671
250	11399	74889
251	11446	74856
252	11498	74855
253	11556	74889
254	11601	74839
255	11655	74851
256	11695	74768
257	11744	74745
258	11850	75084
259	11957	75421
260	12000	75361
261	12040	75278
262	12089	75249
263	12128	75160
264	12188	75203
265	12271	75384
266	12308	75282
267	12347	75193
268	12437	75413
269	12474	75308
270	12515	75232
271	12550	75119
272	12588	75026
273	12629	74950
274	12661	74815
275	12712	74800
276	12767	74807
277	12817	74785
278	12892	74903
279	12940	74871
280	12997	74887
281	13025	74736
282	13088	74782
283	13118	74648
284	13177	74670
285	13240	74722
286	13317	74847
287	13396	74985
288	13473	75105
289	13629	75668
290	13675	75613
291	13748	75708
292	13827	75840
293	13899	75929
294	13961	75957
295	14033	76043
296	14097	76087
297	14153	76088
298	14220	76141
299	14318	76364
300	14382	76402
301	14425	76329
302	14487	76358
303	14532	76296
304	14583	76266
305	14671	76427
306	14743	76505
307	14838	76697
308	14928	76863
309	15018	77029
310	15081	77055
311	15138	77050
312	15210	77123
313	15279	77174
314	15348	77227
315	15426	77330
316	15493	77368
317	15597	77596
318	15650	77564
319	15698	77511
320	15739	77420
321	15789	77376
322	15837	77325
323	15904	77360
324	15951	77301
325	16026	77378
326	16100	77450
327	16197	77629
328	16251	77603
329	16304	77568
330	16350	77504
331	16417	77537
332	16499	77640
333	16582	77751
334	16654	77805
335	16697	77723
336	16744	77659
337	16797	77625
338	16854	77609
339	16941	77730
340	17038	77898
341	17088	77847
342	17140	77804
343	17264	78090
344	17308	78013
345	17392	78114
346	17431	78013
347	17498	78037
348	17534	77923
349	17583	77868
350	17618	77754
351	17655	77642
352	17691	77532
353	17779	77645
354	17845	77666
355	17897	77624
356	17953	77599
357	18012	77582
358	18102	77704
359	18182	77778
360	18234	77734
361	18281	77669
362	18327	77602
363	18378	77554
364	18431	77515
365	18469	77411
366	18513	77332
367	18550	77225
368	18582	77098
369	18624	77014
370	18660	76905
371	18700	76811
372	18739	76717
373	18774	76603
374	18809	76490
375	18846	76390
376	18886	76297
377	18922	76191
378	18970	76133
379	19011	76046
380	19048	75942
381	19093	75874
382	19145	75830
383	19195	75782
384	19233	75686
385	19269	75580
386	19308	75486
387	19341	75372
388	19379	75275
389	19422	75199
390	19466	75126
391	19514	75069
392	19550	74969
393	19595	74900
394	19635	74813
395	19671	74711
396	19707	74610
397	19764	74589
398	19815	74543
399	19852	74447
400	19883	74327
401	19924	74245
402	19954	74122
403	19984	74002
404	20027	73927
405	20065	73836
406	20099	73732
407	20132	73620
408	20177	73556
409	20257	73620
410	20291	73515
411	20325	73409
412	20363	73318
413	20402	73233
414	20438	73134
415	20476	73045
416	20518	72969
417	20549	72858
418	20584	72759
419	20625	72681
420	20676	72637
421	20719	72565
422	20762	72497
423	20793	72384
424	20824	72274
425	20880	72248
426	20931	72205
427	20975	72139
428	21024	72091
429	21073	72042
430	21129	72017
431	21165	71923
432	21196	71813
433	21230	71712
434	21274	71648
435	21374	71772
436	21421	71714
437	21468	71659
438	21506	71574
439	21551	71512
